Metropolitan Statistical Area,Murder,Rape,Robbery,Assault,Burglary,Larceny,Car Theft
"Owensboro, KY M.S.A.",1.8,38.6,25.5,50.0,458.3,1837.4,101.0
"Oxnard-Thousand Oaks-Ventura, CA M.S.A.",2.2,13.0,77.8,123.5,377.5,1468.4,139.5
"Palm Bay-Melbourne-Titusville, FL M.S.A.",3.7,31.7,97.9,456.0,788.2,2248.0,128.2
"Palm Coast, FL M.S.A.",0.0,16.5,37.0,182.1,571.0,1635.8,107.0
"Panama City-Lynn Haven-Panama City Beach, FL M.S.A.",7.2,36.7,95.0,381.7,989.3,3345.5,205.6
"Pascagoula, MS M.S.A.",3.8,58.2,71.1,138.3,1208.5,1956.8,198.4
"Pensacola-Ferry Pass-Brent, FL M.S.A.",7.6,55.1,130.8,376.4,826.7,2320.2,148.9
"Peoria, IL M.S.A.2",7.5,37.0,99.5,262.6,666.2,1819.4,133.0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD M.S.A.",7.8,28.5,222.5,293.0,513.0,1942.4,207.3
"Camden, NJ M.D.",4.1,17.6,125.1,185.9,549.6,1836.4,130.8
"Philadelphia, PA M.D.",9.1,32.3,251.2,313.3,451.5,1913.3,226.5
"Wilmington, DE-MD-NJ M.D.",6.8,26.2,233.2,368.6,798.8,2298.1,234.5
"Phoenix-Mesa-Glendale, AZ M.S.A.",5.5,25.9,124.1,215.3,795.6,2402.3,336.8
"Pine Bluff, AR M.S.A.",9.0,55.9,172.8,555.3,1743.9,2500.0,367.6
"Pittsburgh, PA M.S.A.",4.7,16.9,96.5,201.4,431.1,1457.1,87.4
"Pittsfield, MA M.S.A.",0.8,37.7,28.3,387.0,742.6,1663.4,96.6
"Pocatello, ID M.S.A.",1.1,36.4,15.4,164.4,421.4,2243.9,105.9
"Portland-South Portland-Biddeford, ME M.S.A.",1.9,28.7,44.3,58.6,520.7,1873.9,78.4
"Port St. Lucie, FL M.S.A.",4.8,27.9,83.2,254.8,712.5,1806.6,90.4
"Poughkeepsie-Newburgh-Middletown, NY M.S.A.",4.6,14.2,85.3,159.8,346.4,1667.8,59.3
"Prescott, AZ M.S.A.",3.3,23.4,11.0,289.4,508.6,1560.1,102.4
"Providence-New Bedford-Fall River, RI-MA M.S.A.",2.6,30.2,91.8,246.8,625.7,1692.8,213.4
"Provo-Orem, UT M.S.A.",1.1,22.1,14.1,44.1,312.9,1714.5,72.6
"Pueblo, CO M.S.A.2",2.6,19.2,104.8,458.7,1256.7,2664.2,332.9
"Punta Gorda, FL M.S.A.",0.6,14.5,29.7,195.7,728.0,1852.5,70.7
"Racine, WI M.S.A.",4.0,15.9,109.5,123.8,620.6,1936.2,123.3
"Raleigh-Cary, NC M.S.A.",3.4,16.1,75.3,147.8,628.1,1630.8,183.7
"Rapid City, SD M.S.A.",3.2,93.4,49.5,265.9,541.3,2183.7,123.0
"Reading, PA M.S.A.",3.2,15.5,107.6,203.4,524.8,1429.3,222.5
"Redding, CA M.S.A.",1.6,65.7,75.5,654.3,825.0,1558.7,232.5
"Reno-Sparks, NV M.S.A.",4.2,25.2,117.4,276.5,657.1,1860.8,258.1
"Richmond, VA M.S.A.",7.2,15.8,111.8,134.5,495.8,1877.1,170.1
"Riverside-San Bernardino-Ontario, CA M.S.A.",4.5,20.4,115.7,228.0,746.5,1550.6,397.5
"Roanoke, VA M.S.A.",6.3,22.8,68.0,205.8,494.2,2042.0,125.9
"Rochester, MN M.S.A.3",0.5,,34.6,102.7,303.8,1424.0,84.1
"Rochester, NY M.S.A.",4.9,22.1,99.2,190.9,627.5,2085.1,114.0
"Rockford, IL M.S.A.2",6.5,53.2,159.8,540.9,959.5,2254.0,175.4
"Rocky Mount, NC M.S.A.",10.2,23.8,171.3,407.3,1187.8,2253.9,191.7
"Rome, GA M.S.A.",3.2,23.5,106.8,348.1,896.0,2512.8,208.2
